time,BSSID,latitude,longitude
1366231542,04:c5:a4:c3:df:15,43.7055912,-72.28929740000001
1366232742,04:c5:a4:c3:df:15,43.7055514,-72.28933420000001
1366235142,04:c5:a4:c3:df:15,43.7055499,-72.289327
1367168221,ac:a0:16:cb:50:25,43.705385799999995,-72.28904890000001
1366480917,04:c5:a4:c3:d3:d5,43.705210799999996,-72.2892429
1365189487,dc:7b:94:87:2e:3a,43.7058513,-72.28909959999999
1365189487,dc:7b:94:87:31:bf,43.7058513,-72.28909959999999
1366327440,dc:7b:94:87:17:bf,43.7056375,-72.2890985
1366327440,dc:7b:94:87:31:bf,43.7056375,-72.2890985
1366327440,dc:7b:94:87:45:cf,43.7056375,-72.2890985
1366328640,dc:7b:94:87:17:b0,43.705664899999995,-72.28920009999999
1366328640,dc:7b:94:87:31:b0,43.705664899999995,-72.28920009999999
1366328640,dc:7b:94:87:45:cf,43.705664899999995,-72.28920009999999
1366332240,dc:7b:94:87:17:bf,43.705651700000004,-72.28915440000002
1366332240,dc:7b:94:87:31:bf,43.705651700000004,-72.28915440000002
1366332240,dc:7b:94:87:45:cf,43.705651700000004,-72.28915440000002
1367444466,dc:7b:94:87:17:bf,43.705734299999996,-72.2893962
1367444466,dc:7b:94:87:45:c0,43.705734299999996,-72.2893962
1367445666,dc:7b:94:87:17:bf,43.70571029999999,-72.28937950000001
1367446866,dc:7b:94:87:17:bf,43.7057554,-72.289392
1367446866,dc:7b:94:87:31:bf,43.7057554,-72.289392
1368570598,04:c5:a4:c3:df:15,43.705878600000005,-72.2895689
1368481233,04:c5:a4:c3:df:15,43.705968799999994,-72.28964609999998
1369060256,04:c5:a4:c3:df:15,43.70598378,-72.2896257
1370020506,04:c5:a4:c3:d3:d5,43.70589681,-72.28947915
1364943406,ac:a0:16:ca:5b:aa,43.705206700000005,-72.2892536
1364943406,dc:7b:94:87:32:ba,43.705206700000005,-72.2892536
1364944605,dc:7b:94:87:32:ba,43.705223,-72.28919640000001
1364945805,ac:a0:16:ca:5b:aa,43.7052046,-72.28922990000001
1364945805,dc:7b:94:87:32:ba,43.7052046,-72.28922990000001
